Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\NetSpeed.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\NetSpeed.csproj,,,,,,,,"Bieżąca struktura docelowa: .NETFramework,Version=v4.8 Zalecana struktura docelowa: net10.0-windows"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Resources.Designer.cs,86,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""metal1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Resources.Designer.cs,85,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap metal1
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""metal"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap metal
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""IMG_4058_rawlr"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap IMG_4058_rawlr
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Program.cs,16,12,T:System.Windows.Forms.Application,,,,,Application.Run(new MainForm());
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Program.cs,16,12,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new MainForm());
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Program.cs,15,12,T:System.Windows.Forms.Application,,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Program.cs,15,12,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Program.cs,14,12,T:System.Windows.Forms.Application,,,,,Application.EnableVisualStyles();
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\Program.cs,14,12,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,Application.EnableVisualStyles();
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,188,44,T:System.Windows.Forms.Button,,,,,okButton
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,187,45,T:System.Windows.Forms.TextBox,,,,,textBoxDescription
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,186,43,T:System.Windows.Forms.Label,,,,,labelCompanyName
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,185,43,T:System.Windows.Forms.Label,,,,,labelCopyright
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,184,43,T:System.Windows.Forms.Label,,,,,labelVersion
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,183,43,T:System.Windows.Forms.Label,,,,,labelProductName
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,182,48,T:System.Windows.Forms.PictureBox,,,,,logoPictureBox
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,181,54,T:System.Windows.Forms.TableLayoutPanel,,,,,tableLayoutPanel
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,InterfaceTrafficWatch\NetSpeed.csproj,File,InterfaceTrafficWatch\AboutBox1.Designer.cs,175,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
